priority,identifier,change,symbol,series,marketType,lastPrice,totalTradedVolume,open,dayHigh,dayLow,previousClose,totalTradedValue,yearHigh,yearLow,ffmc,lastUpdateTime,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,nearWKH,nearWKL,chart30Path,chart365Path,companyName,pChange
1,NIFTY 50,34.35,NIFTY 50,,,24056.0,448752143,24125.85,24261.6,24039.0,24021.65,400151852197.86,26373.2,22182.55,,2026-06-25 15:39:59,0,-5.84,0.6,27-Jun-2025,27-May-2026,8.786192043438035,-8.445602511884342,,,,0.14
0,HDFCBANKEQN,2.8,HDFCBANK,EQ,N,796.0,46707966,798.5,804.45,794.75,793.2,37336012622.1,1020.5,726.65,12155173444393.53,2026-06-25 16:00:25,0,-21.26,2.2,26-Jun-2025,26-May-2026,21.99902008819206,-9.54379687607514,,,HDFC BANK LIMITED,0.35
0,INDIGOEQN,254.8,INDIGO,EQ,N,5462.0,5145228,5265.0,5464.9,5265.0,5207.2,27858013769.52,6232.5,3895.2,1232262868365.01,2026-06-25 16:00:25,0,-4.03,21.9,26-Jun-2025,26-May-2026,12.362615322904132,-40.22386527007599,,,INTERGLOBE AVIATION LIMITED,4.89
0,ICICIBANKEQN,13.4,ICICIBANK,EQ,N,1387.0,17173209,1381.9,1404.0,1380.1,1373.6,23881579631.67,1500.0,1187.6,9908310439914.39,2026-06-25 16:00:25,0,-3.62,8.44,26-Jun-2025,26-May-2026,7.533333333333333,-16.79016503873358,,,ICICI BANK LIMITED,0.98
0,M&MEQN,120.8,M&M,EQ,N,3185.3,5346892,3090.0,3208.5,3086.0,3064.5,16971142145.84,3839.9,2896.0,2838406021192.99,2026-06-25 16:00:25,0,-0.95,2.51,26-Jun-2025,26-May-2026,17.04731894059741,-9.9896408839779,,,MAHINDRA & MAHINDRA LIMITED,3.94
0,SBINEQN,10.6,SBIN,EQ,N,1045.2,16002360,1040.0,1055.4,1038.55,1034.6,16784395333.2,1234.7,786.55,4325156288372.23,2026-06-25 16:00:25,0,31.13,7.92,26-Jun-2025,26-May-2026,15.347857779217623,-32.88411416947429,,,STATE BANK OF INDIA,1.02
0,RELIANCEEQN,2.9,RELIANCE,EQ,N,1316.5,12694362,1318.0,1328.0,1314.6,1313.6,16766713329.6,1611.8,1253.2,8867227521639.45,2026-06-25 16:00:25,0,-11.96,-2.93,26-Jun-2025,26-May-2026,18.32113165405137,-5.05106926268752,,,RELIANCE INDUSTRIES LIMITED,0.22
0,INFYEQN,-13.7,INFY,EQ,N,1042.9,15866779,1065.0,1068.0,1039.1,1056.6,16628384392.0,1728.0,1026.0,3647949635233.92,2026-06-25 16:00:25,0,-35.46,-10.69,26-Jun-2025,26-May-2026,39.64699074074074,-1.6471734892787524,,,INFOSYS LIMITED,-1.3
0,BHARTIARTLEQN,-27.4,BHARTIARTL,EQ,N,1849.9,8521503,1885.0,1889.0,1848.0,1877.3,15859198803.24,2174.5,1740.5,5662298787069.1,2026-06-25 16:00:25,0,-8.16,0.16,26-Jun-2025,26-May-2026,14.92756955621982,-6.285550129273197,,,BHARTI AIRTEL LIMITED,-1.46
0,MARUTIEQN,505.0,MARUTI,EQ,N,13753.0,981556,13358.0,13917.0,13326.0,13248.0,13492616009.4,17370.0,12201.0,1799557737818.99,2026-06-25 16:00:25,0,8.16,4.13,26-Jun-2025,26-May-2026,20.823258491652275,-12.720268830423736,,,MARUTI SUZUKI INDIA LIMITED,3.81
